
  ******************************************  
  *           Fortran 77 Code              *  
  *         Spherical H.O. basis            *  
  * Dirac-Hartree-Bogoliubov calculation   *  
  *        with density-dependent          *  
  * meson-exchange or point coupling force *  
  *          and separable pairing         *  
  * -------------------------------------- *  
  *      Niksic, Paar, Vretenar, Ring      *  
  *          18/ 4/2026/01:51:36           *
  *       Pb 244  N = 162  Z =  82
  ******************************************  
  ****** BEGIN READER *******************************
 Number of oscillator shells :    18   20
 Initialization inin,inink   :     1    1
 Nucleus: Pb 244   162  82
 Initial Gap Parameters      :     1.0000    1.0000
 Parameter set               :    DD-ME2    
  ****** END READER *********************************
  ****** BEGIN FORCES *******************************

 NEDF Parameters: DD-ME2    
 AMU   =  939.000
 msig  =  550.124  gsig =    10.5396  Gsig =   -14.2924
 mome  =  783.000  gome =    13.0189  Gome =    10.7647
 mdel  =    0.000  gdel =     0.0000  Gdel =    -0.0000
 mrho  =  763.000  grho =     3.6836  Grho =     0.9076
  
 Density dependence parameters:
           scasca    scavec    vecsca    vecvec
 a    =   1.388148  1.389291  0.000000  0.564700
 b    =   1.094300  0.923975  0.000000  0.000000
 c    =   1.705700  1.462000  0.000000  0.000000
 d    =   0.442067  0.477492  0.000000  0.000000
 dsat =   0.152000
  
 TMR pairing: Tian,Ma,Ring, PRB 676, 44 (2009)
 TMR pairing strength    gl =:  -728.00000 [MeV*fm^3]
 TMR pairing width        a =:     0.64420 [fm]
  ****** END FORCES *********************************
  ****** BEGIN PREP *********************************
  
 hom =                            6.561260
 hb0 =                           20.734000
 b0  =                            2.513986
 with Coulomb force
 With microscopic c.m. correction
  ****** END PREP ***********************************
  ****** BEGIN ITER *********************************
  1.It. si =    0.0000000  E/A =    0.0000 R =    0.0000  mix = 0.50
  2.It. si =  105.7731089  E/A =   -7.0565 R =    6.1239  mix = 0.50
  3.It. si =   58.1214733  E/A =   -7.0828 R =    6.1071  mix = 0.50
  4.It. si =   13.0383624  E/A =   -7.0979 R =    6.0884  mix = 0.50
  5.It. si =   13.9757433  E/A =   -7.1186 R =    6.0649  mix = 0.50
  6.It. si =   14.3494840  E/A =   -7.1266 R =    6.0501  mix = 0.50
  7.It. si =    5.4680767  E/A =   -7.1382 R =    6.0276  mix = 0.50
  8.It. si =    1.9696473  E/A =   -7.1441 R =    6.0155  mix = 0.50
  9.It. si =    1.4131615  E/A =   -7.1463 R =    6.0092  mix = 0.50
 10.It. si =    0.4779800  E/A =   -7.1458 R =    6.0098  mix = 0.50
 11.It. si =    0.8425316  E/A =   -7.1451 R =    6.0116  mix = 0.50
 12.It. si =    0.5213036  E/A =   -7.1451 R =    6.0117  mix = 0.50
 13.It. si =    0.0805339  E/A =   -7.1454 R =    6.0103  mix = 0.50
 14.It. si =    0.1019605  E/A =   -7.1453 R =    6.0102  mix = 0.50
 15.It. si =    0.0362490  E/A =   -7.1452 R =    6.0100  mix = 0.50
 16.It. si =    0.0290578  E/A =   -7.1452 R =    6.0099  mix = 0.50
 17.It. si =    0.0222095  E/A =   -7.1452 R =    6.0097  mix = 0.50
 18.It. si =    0.0237702  E/A =   -7.1452 R =    6.0096  mix = 0.50
 19.It. si =    0.0599556  E/A =   -7.1452 R =    6.0096  mix = 0.50
 20.It. si =    0.1280129  E/A =   -7.1452 R =    6.0094  mix = 0.50
 21.It. si =    0.0972487  E/A =   -7.1452 R =    6.0095  mix = 0.50
 22.It. si =    0.0913027  E/A =   -7.1452 R =    6.0095  mix = 0.50
 23.It. si =    0.0355937  E/A =   -7.1452 R =    6.0095  mix = 0.50
 24.It. si =    0.0228882  E/A =   -7.1452 R =    6.0095  mix = 0.50
 25.It. si =    0.0064358  E/A =   -7.1452 R =    6.0095  mix = 0.50
 26.It. si =    0.0012344  E/A =   -7.1452 R =    6.0095  mix = 0.50
 27.It. si =    0.0000654  E/A =   -7.1452 R =    6.0095  mix = 0.50
 28.It. si =    0.0000065  E/A =   -7.1452 R =    6.0095  mix = 0.50
 29.It. si =    0.0000077  E/A =   -7.1452 R =    6.0095  mix = 0.50
 30.It. si =    0.0000076  E/A =   -7.1452 R =    6.0095  mix = 0.50
 31.It. si =    0.0000070  E/A =   -7.1452 R =    6.0095  mix = 0.50
 32.It. si =    0.0000060  E/A =   -7.1452 R =    6.0095  mix = 0.50
 33.It. si =    0.0000047  E/A =   -7.1452 R =    6.0095  mix = 0.50
 ********************************************************************
 Pb 244: Iteration converged after  33 steps   si =      0.0000005862
 ********************************************************************
  ****** END ITER ***********************************
  ****** BEGIN CANON ********************************
 single-particle energies and gaps  in the canonical basis: Neutron:
 ------------------------------------------------------------------
    j pi     (nr,l,j)  smax       Ecan       vvcan       decan
 j = 1/2+  (   s 1/2)  0.97    -59.9164      0.9997      1.9540
 j = 1/2+  (   s 1/2)  0.96    -41.9652      0.9996      1.6676
 j = 1/2+  (   s 1/2)  0.98    -21.7950      0.9977      1.8920
 j = 1/2+  (   s 1/2)  0.94     -2.0082      0.4022      1.2277
 j = 1/2+  (   s 1/2)  0.85      8.2604      0.0012      0.7220
 j = 1/2+  (   s 1/2)  0.79     19.7907      0.0002      0.6142
 j = 1/2+  (   s 1/2)  0.85     35.2168      0.0000      0.4483
 j = 1/2+  (   s 1/2)  0.92     42.1678      0.0000      0.0672
 j = 1/2+  (   s 1/2)  0.94     50.3323      0.0000      0.2967
 j = 1/2+  (   s 1/2)  0.91     66.0914      0.0000      0.1990
 j = 1/2-  (   p 1/2)  0.99    -52.8558      0.9997      1.8008
 j = 1/2-  (   p 1/2)  0.98    -32.3498      0.9992      1.7055
 j = 1/2-  (   p 1/2)  0.97    -10.0952      0.9880      1.7531
 j = 1/2-  (   p 1/2)  0.93      4.7557      0.0036      0.8474
 j = 1/2-  (   p 1/2)  0.85     14.9833      0.0003      0.6067
 j = 1/2-  (   p 1/2)  0.84     28.2521      0.0001      0.4474
 j = 1/2-  (   p 1/2)  0.91     42.1341      0.0000      0.3104
 j = 1/2-  (   p 1/2)  0.95     45.2667      0.0000      0.0938
 j = 1/2-  (   p 1/2)  0.94     58.8688      0.0000      0.2160
 j = 3/2+  (   d 3/2)  0.99    -44.7725      0.9996      1.6673
 j = 3/2+  (   d 3/2)  0.98    -22.1985      0.9980      1.8132
 j = 3/2+  (   d 3/2)  0.95     -1.6268      0.2867      1.3275
 j = 3/2+  (   d 3/2)  0.87      9.3872      0.0009      0.7034
 j = 3/2+  (   d 3/2)  0.80     20.5764      0.0002      0.5700
 j = 3/2+  (   d 3/2)  0.82     34.7681      0.0000      0.3829
 j = 3/2+  (   d 3/2)  0.93     46.6135      0.0000      0.0669
 j = 3/2+  (   d 3/2)  0.91     47.5045      0.0000      0.2456
 j = 3/2+  (   d 3/2)  0.92     65.1576      0.0000      0.1658
 j = 3/2-  (   p 3/2)  0.99    -53.1585      0.9997      1.8075
 j = 3/2-  (   p 3/2)  0.97    -33.1586      0.9992      1.7107
 j = 3/2-  (   p 3/2)  0.97    -10.9746      0.9902      1.7546
 j = 3/2-  (   p 3/2)  0.93      4.3595      0.0041      0.8536
 j = 3/2-  (   p 3/2)  0.86     14.5541      0.0003      0.5968
 j = 3/2-  (   p 3/2)  0.84     27.8520      0.0001      0.4473
 j = 3/2-  (   p 3/2)  0.91     41.6991      0.0000      0.3099
 j = 3/2-  (   p 3/2)  0.95     44.8481      0.0000      0.0935
 j = 3/2-  (   p 3/2)  0.94     58.3918      0.0000      0.2160
 j = 5/2+  (   d 5/2)  0.99    -45.6296      0.9996      1.6851
 j = 5/2+  (   d 5/2)  0.98    -23.8070      0.9982      1.8231
 j = 5/2+  (   d 5/2)  0.95     -2.4634      0.5781      1.3306
 j = 5/2+  (   d 5/2)  0.88      8.9834      0.0010      0.6973
 j = 5/2+  (   d 5/2)  0.81     19.9011      0.0002      0.5624
 j = 5/2+  (   d 5/2)  0.83     34.1945      0.0000      0.3806
 j = 5/2+  (   d 5/2)  0.93     46.1606      0.0000      0.0668
 j = 5/2+  (   d 5/2)  0.91     46.9407      0.0000      0.2444
 j = 5/2+  (   d 5/2)  0.92     64.5572      0.0000      0.1657
 j = 5/2-  (   f 5/2)  0.98    -36.0620      0.9994      1.5988
 j = 5/2-  (   f 5/2)  0.98    -11.4517      0.9914      1.7333
 j = 5/2-  (   f 5/2)  0.96      5.3189      0.0046      1.0297
 j = 5/2-  (   f 5/2)  0.93     16.2880      0.0003      0.6530
 j = 5/2-  (   f 5/2)  0.92     29.2643      0.0001      0.4697
 j = 5/2-  (   f 5/2)  0.94     41.3982      0.0000      0.3009
 j = 5/2-  (   f 5/2)  0.94     45.5155      0.0000      0.0872
 j = 5/2-  (   f 5/2)  0.95     56.2331      0.0000      0.1957
 j = 7/2+  (   g 7/2)  0.98    -26.4026      0.9989      1.6093
 j = 7/2+  (   g 7/2)  0.98     -2.0786      0.4421      1.4973
