
  ******************************************  
  *           Fortran 77 Code              *  
  *         Spherical H.O. basis            *  
  * Dirac-Hartree-Bogoliubov calculation   *  
  *        with density-dependent          *  
  * meson-exchange or point coupling force *  
  *          and separable pairing         *  
  * -------------------------------------- *  
  *      Niksic, Paar, Vretenar, Ring      *  
  *          18/ 4/2026/01:37:03           *
  *       Hg 206  N = 126  Z =  80
  ******************************************  
  ****** BEGIN READER *******************************
 Number of oscillator shells :    18   20
 Initialization inin,inink   :     0    0
 Nucleus: Hg 206   126  80
 Initial Gap Parameters      :     1.0000    1.0000
 Parameter set               :    DD-ME2    
  ****** END READER *********************************
  ****** BEGIN FORCES *******************************

 NEDF Parameters: DD-ME2    
 AMU   =  939.000
 msig  =  550.124  gsig =    10.5396  Gsig =   -14.2924
 mome  =  783.000  gome =    13.0189  Gome =    10.7647
 mdel  =    0.000  gdel =     0.0000  Gdel =    -0.0000
 mrho  =  763.000  grho =     3.6836  Grho =     0.9076
  
 Density dependence parameters:
           scasca    scavec    vecsca    vecvec
 a    =   1.388148  1.389291  0.000000  0.564700
 b    =   1.094300  0.923975  0.000000  0.000000
 c    =   1.705700  1.462000  0.000000  0.000000
 d    =   0.442067  0.477492  0.000000  0.000000
 dsat =   0.152000
  
 TMR pairing: Tian,Ma,Ring, PRB 676, 44 (2009)
 TMR pairing strength    gl =:  -728.00000 [MeV*fm^3]
 TMR pairing width        a =:     0.64420 [fm]
  ****** END FORCES *********************************
  ****** BEGIN PREP *********************************
  
 hom =                            6.942163
 hb0 =                           20.734000
 b0  =                            2.444045
 with Coulomb force
 With microscopic c.m. correction
  ****** END PREP ***********************************
  potentials read from tape dirhb.wel
  ****** BEGIN ITER *********************************
  1.It. si =    0.0000000  E/A =    0.0000 R =    0.0000  mix = 0.50
  2.It. si =    6.5377769  E/A =   -7.8477 R =    5.5667  mix = 0.50
  3.It. si =    4.6248057  E/A =   -7.8477 R =    5.5668  mix = 0.50
  4.It. si =    2.3950165  E/A =   -7.8476 R =    5.5672  mix = 0.50
  5.It. si =    0.6108807  E/A =   -7.8476 R =    5.5689  mix = 0.50
  6.It. si =    0.2545814  E/A =   -7.8477 R =    5.5695  mix = 0.50
  7.It. si =    0.1850184  E/A =   -7.8478 R =    5.5702  mix = 0.50
  8.It. si =    0.1677555  E/A =   -7.8478 R =    5.5701  mix = 0.50
  9.It. si =    0.1719418  E/A =   -7.8478 R =    5.5700  mix = 0.50
 10.It. si =    0.0535484  E/A =   -7.8479 R =    5.5698  mix = 0.50
 11.It. si =    0.0781104  E/A =   -7.8480 R =    5.5698  mix = 0.50
 12.It. si =    0.0131569  E/A =   -7.8480 R =    5.5698  mix = 0.50
 13.It. si =    0.0531531  E/A =   -7.8480 R =    5.5698  mix = 0.50
 14.It. si =    0.0442989  E/A =   -7.8480 R =    5.5698  mix = 0.50
 15.It. si =    0.0740369  E/A =   -7.8480 R =    5.5698  mix = 0.50
 16.It. si =    0.0240707  E/A =   -7.8480 R =    5.5698  mix = 0.50
 17.It. si =    0.0134674  E/A =   -7.8480 R =    5.5698  mix = 0.50
 18.It. si =    0.0097335  E/A =   -7.8480 R =    5.5698  mix = 0.50
 19.It. si =    0.0005569  E/A =   -7.8480 R =    5.5698  mix = 0.50
 20.It. si =    0.0003862  E/A =   -7.8480 R =    5.5698  mix = 0.50
 21.It. si =    0.0000463  E/A =   -7.8480 R =    5.5698  mix = 0.50
 22.It. si =    0.0000062  E/A =   -7.8480 R =    5.5698  mix = 0.50
 23.It. si =    0.0000023  E/A =   -7.8480 R =    5.5698  mix = 0.50
 24.It. si =    0.0000011  E/A =   -7.8480 R =    5.5698  mix = 0.50
 ********************************************************************
 Hg 206: Iteration converged after  24 steps   si =      0.0000003990
 ********************************************************************
  ****** END ITER ***********************************
  ****** BEGIN CANON ********************************
 single-particle energies and gaps  in the canonical basis: Neutron:
 ------------------------------------------------------------------
    j pi     (nr,l,j)  smax       Ecan       vvcan       decan
 j = 1/2+  (   s 1/2)  0.93    -62.6980      1.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.90    -42.4942      1.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.96    -17.7402      1.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.83     -0.0478      0.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.46      5.1544      0.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.69     14.1270      0.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.55     26.6930      0.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.55     42.1051      0.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.59     61.6964      0.0000     -0.0000
 j = 1/2+  (   s 1/2)  0.63     94.0879      0.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.96    -55.7617      1.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.95    -31.1338      1.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.97     -7.5177      1.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.58      3.2185      0.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.71     10.2682      0.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.68     21.6123      0.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.61     36.5183      0.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.64     55.1755      0.0000     -0.0000
 j = 1/2-  (   p 1/2)  0.64     86.1949      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.98    -46.8133      1.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.98    -19.4701      1.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.89      0.1042      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.47      5.4411      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.72     14.2781      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.58     26.5611      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.54     41.9945      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.61     61.6128      0.0000     -0.0000
 j = 3/2+  (   d 3/2)  0.64     93.4618      0.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.96    -56.2412      1.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.94    -31.8858      1.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.97     -8.0338      1.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.58      3.1591      0.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.70     10.1087      0.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.68     21.4700      0.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.60     36.3111      0.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.64     54.8316      0.0000     -0.0000
 j = 3/2-  (   p 3/2)  0.63     86.2057      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.97    -48.1589      1.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.97    -21.1376      1.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.91     -0.5147      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.49      5.2055      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.72     13.9537      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.58     26.2795      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.53     41.6190      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.60     61.0156      0.0000     -0.0000
 j = 5/2+  (   d 5/2)  0.63     93.5165      0.0000     -0.0000
