
  ******************************************  
  *           Fortran 77 Code              *  
  *         Spherical H.O. basis            *  
  * Dirac-Hartree-Bogoliubov calculation   *  
  *        with density-dependent          *  
  * meson-exchange or point coupling force *  
  *          and separable pairing         *  
  * -------------------------------------- *  
  *      Niksic, Paar, Vretenar, Ring      *  
  *          18/ 4/2026/01:36:54           *
  *       Hg 200  N = 120  Z =  80
  ******************************************  
  ****** BEGIN READER *******************************
 Number of oscillator shells :    18   20
 Initialization inin,inink   :     0    0
 Nucleus: Hg 200   120  80
 Initial Gap Parameters      :     1.0000    1.0000
 Parameter set               :    DD-ME2    
  ****** END READER *********************************
  ****** BEGIN FORCES *******************************

 NEDF Parameters: DD-ME2    
 AMU   =  939.000
 msig  =  550.124  gsig =    10.5396  Gsig =   -14.2924
 mome  =  783.000  gome =    13.0189  Gome =    10.7647
 mdel  =    0.000  gdel =     0.0000  Gdel =    -0.0000
 mrho  =  763.000  grho =     3.6836  Grho =     0.9076
  
 Density dependence parameters:
           scasca    scavec    vecsca    vecvec
 a    =   1.388148  1.389291  0.000000  0.564700
 b    =   1.094300  0.923975  0.000000  0.000000
 c    =   1.705700  1.462000  0.000000  0.000000
 d    =   0.442067  0.477492  0.000000  0.000000
 dsat =   0.152000
  
 TMR pairing: Tian,Ma,Ring, PRB 676, 44 (2009)
 TMR pairing strength    gl =:  -728.00000 [MeV*fm^3]
 TMR pairing width        a =:     0.64420 [fm]
  ****** END FORCES *********************************
  ****** BEGIN PREP *********************************
  
 hom =                            7.010901
 hb0 =                           20.734000
 b0  =                            2.432034
 with Coulomb force
 With microscopic c.m. correction
  ****** END PREP ***********************************
  potentials read from tape dirhb.wel
  ****** BEGIN ITER *********************************
  1.It. si =    0.0000000  E/A =    0.0000 R =    0.0000  mix = 0.50
  2.It. si =    4.4162277  E/A =   -7.8666 R =    5.5143  mix = 0.50
  3.It. si =    2.3817575  E/A =   -7.8663 R =    5.5146  mix = 0.50
  4.It. si =    0.6359513  E/A =   -7.8659 R =    5.5153  mix = 0.50
  5.It. si =    0.4820841  E/A =   -7.8655 R =    5.5165  mix = 0.50
  6.It. si =    0.4420359  E/A =   -7.8655 R =    5.5169  mix = 0.50
  7.It. si =    0.2220330  E/A =   -7.8653 R =    5.5174  mix = 0.50
  8.It. si =    0.1952864  E/A =   -7.8652 R =    5.5175  mix = 0.50
  9.It. si =    0.1438320  E/A =   -7.8650 R =    5.5177  mix = 0.50
 10.It. si =    0.1241842  E/A =   -7.8650 R =    5.5177  mix = 0.50
 11.It. si =    0.0051480  E/A =   -7.8648 R =    5.5180  mix = 0.50
 12.It. si =    0.0007926  E/A =   -7.8648 R =    5.5180  mix = 0.50
 13.It. si =    0.0014996  E/A =   -7.8648 R =    5.5180  mix = 0.50
 14.It. si =    0.0012575  E/A =   -7.8648 R =    5.5180  mix = 0.50
 15.It. si =    0.0011318  E/A =   -7.8648 R =    5.5180  mix = 0.50
 16.It. si =    0.0000896  E/A =   -7.8647 R =    5.5180  mix = 0.50
 17.It. si =    0.0000180  E/A =   -7.8647 R =    5.5180  mix = 0.50
 18.It. si =    0.0000021  E/A =   -7.8647 R =    5.5180  mix = 0.50
 19.It. si =    0.0000027  E/A =   -7.8647 R =    5.5180  mix = 0.50
 ********************************************************************
 Hg 200: Iteration converged after  19 steps   si =      0.0000007886
 ********************************************************************
  ****** END ITER ***********************************
  ****** BEGIN CANON ********************************
 single-particle energies and gaps  in the canonical basis: Neutron:
 ------------------------------------------------------------------
    j pi     (nr,l,j)  smax       Ecan       vvcan       decan
 j = 1/2+  (   s 1/2)  0.78    -60.9561      0.9999      1.1954
 j = 1/2+  (   s 1/2)  0.73    -41.4839      0.9996      1.3915
 j = 1/2+  (   s 1/2)  0.92    -16.6261      0.9964      1.0873
 j = 1/2+  (   s 1/2)  0.95      2.9725      0.0006      0.5229
 j = 1/2+  (   s 1/2)  0.72     11.9791      0.0000      0.0049
 j = 1/2+  (   s 1/2)  0.94     19.2850      0.0000      0.3086
 j = 1/2+  (   s 1/2)  0.58     36.2601      0.0000      0.0197
 j = 1/2+  (   s 1/2)  0.89     36.6542      0.0000      0.2015
 j = 1/2+  (   s 1/2)  0.76     50.2955      0.0000      0.1144
 j = 1/2+  (   s 1/2)  0.69     88.5523      0.0000      0.0648
 j = 1/2-  (   p 1/2)  0.96    -56.1626      0.9999      1.1366
 j = 1/2-  (   p 1/2)  0.95    -31.0750      0.9994      1.1139
 j = 1/2-  (   p 1/2)  0.98     -7.0736      0.2420      0.8875
 j = 1/2-  (   p 1/2)  0.96     11.2603      0.0002      0.5151
 j = 1/2-  (   p 1/2)  0.71     12.4771      0.0000      0.0093
 j = 1/2-  (   p 1/2)  0.93     26.5791      0.0000      0.3061
 j = 1/2-  (   p 1/2)  0.58     36.9506      0.0000      0.0366
 j = 1/2-  (   p 1/2)  0.82     43.6071      0.0000      0.1992
 j = 1/2-  (   p 1/2)  0.70     82.8747      0.0000      0.1160
 j = 3/2+  (   d 3/2)  0.99    -46.9795      0.9998      0.9868
 j = 3/2+  (   d 3/2)  0.98    -19.9735      0.9985      0.9688
 j = 3/2+  (   d 3/2)  0.97      1.8786      0.0012      0.6556
 j = 3/2+  (   d 3/2)  0.71     10.7181      0.0000      0.0054
 j = 3/2+  (   d 3/2)  0.92     20.9172      0.0001      0.4180
 j = 3/2+  (   d 3/2)  0.57     34.1023      0.0000      0.0189
 j = 3/2+  (   d 3/2)  0.78     38.4142      0.0000      0.2670
 j = 3/2+  (   d 3/2)  0.58     56.8585      0.0000      0.1591
 j = 3/2+  (   d 3/2)  0.77     80.0280      0.0000      0.0810
 j = 3/2-  (   p 3/2)  0.95    -56.3630      0.9999      1.1341
 j = 3/2-  (   p 3/2)  0.94    -31.1124      0.9994      1.1113
 j = 3/2-  (   p 3/2)  0.96     -7.0697      0.2371      0.8710
 j = 3/2-  (   p 3/2)  0.95     11.5895      0.0002      0.5344
 j = 3/2-  (   p 3/2)  0.71     12.5359      0.0000      0.0093
 j = 3/2-  (   p 3/2)  0.93     26.8600      0.0000      0.3060
 j = 3/2-  (   p 3/2)  0.58     36.8708      0.0000      0.0365
 j = 3/2-  (   p 3/2)  0.83     43.5257      0.0000      0.1993
 j = 3/2-  (   p 3/2)  0.70     83.3262      0.0000      0.1165
 j = 5/2+  (   d 5/2)  0.98    -48.0866      0.9998      0.9980
 j = 5/2+  (   d 5/2)  0.98    -21.1273      0.9987      0.9751
 j = 5/2+  (   d 5/2)  0.97      1.5785      0.0012      0.6306
 j = 5/2+  (   d 5/2)  0.71     10.7403      0.0000      0.0054
